kind,path,classification,file_count,frontmatter_count,symlink
skill,/Users/steven/.agent-skills/backups/agent-skills-20260815-024526/skills/taste-skill/skills,backup/archive,12,12,False
agent,/Users/steven/.agent-skills/backups/agent-skills-20260815-024526/skills/tdd/agents,backup/archive,0,0,False
agent,/Users/steven/.agent-skills/backups/agent-skills-20260815-024526/skills/teach/agents,backup/archive,0,0,False
agent,/Users/steven/.agent-skills/backups/agent-skills-20260815-024526/skills/to-questionnaire/agents,backup/archive,0,0,False
agent,/Users/steven/.agent-skills/backups/agent-skills-20260815-024526/skills/to-spec/agents,backup/archive,0,0,False
agent,/Users/steven/.agent-skills/backups/agent-skills-20260815-024526/skills/to-tickets/agents,backup/archive,0,0,False
agent,/Users/steven/.agent-skills/backups/agent-skills-20260815-024526/skills/triage/agents,backup/archive,0,0,False
agent,/Users/steven/.agent-skills/backups/agent-skills-20260815-024526/skills/wait-what/agents,backup/archive,0,0,False
agent,/Users/steven/.agent-skills/backups/agent-skills-20260815-024526/skills/wayfinder/agents,backup/archive,0,0,False
agent,/Users/steven/.agent-skills/backups/agent-skills-20260815-024526/skills/wizard/agents,backup/archive,0,0,False
agent,/Users/steven/.agent-skills/backups/agent-skills-20260815-024526/skills/writing-beats/agents,backup/archive,0,0,False
agent,/Users/steven/.agent-skills/backups/agent-skills-20260815-024526/skills/writing-for-agents/agents,backup/archive,0,0,False
agent,/Users/steven/.agent-skills/backups/agent-skills-20260815-024526/skills/writing-fragments/agents,backup/archive,0,0,False
agent,/Users/steven/.agent-skills/backups/agent-skills-20260815-024526/skills/writing-shape/agents,backup/archive,0,0,False
agent,/Users/steven/.agent-skills/deeptutor/deeptutor/agents,canonical-source,5,0,False
agent,/Users/steven/.agent-skills/deeptutor/deeptutor/agents/math_animator/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/deeptutor/deeptutor/agents/question/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/deeptutor/deeptutor/agents/research/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/deeptutor/deeptutor/agents/solve/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/deeptutor/deeptutor/agents/visualize/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/deeptutor/deeptutor/book/agents,canonical-source,0,0,False
skill,/Users/steven/.agent-skills/deeptutor/deeptutor/tutorbot/skills,canonical-source,13,13,False
agent,/Users/steven/.agent-skills/deeptutor/deeptutor-mimic/deeptutor/agents,canonical-source,5,0,False
agent,/Users/steven/.agent-skills/deeptutor/deeptutor-mimic/deeptutor/agents/math_animator/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/deeptutor/deeptutor-mimic/deeptutor/agents/question/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/deeptutor/deeptutor-mimic/deeptutor/agents/research/agents,canonical-source,0,0,False
